Session_ID,Block_ID,IO_Offset,IO_Size,Op_Name,User
2021-10-05 06:57,706169177,7736922,651686,2,region4_1646037697
2021-10-05 06:57,706169177,8292,2730377,2,region4_1646037697
2021-10-05 06:57,706169177,7736922,651686,2,region4_1646037697
2021-10-05 06:57,706169177,8292,2730377,2,region4_1646037697
2021-10-05 06:58,706169177,7736922,651686,2,region4_1646037697
2021-10-05 06:58,706169177,8292,2730377,2,region4_1646037697
2021-10-05 06:58,706169177,8292,2730377,2,region4_1646037697
2021-10-05 06:58,706169177,7736922,651686,2,region4_1646037697
2021-10-05 06:58,706315387,361715,8026893,2,region4_1646037701
2021-10-05 06:58,706169177,8055257,333351,2,region4_1646037697
2021-10-05 06:58,706209848,0,20137,2,region4_1646037703
2021-10-05 06:58,706333553,0,14766096,4,region4_1646037697
2021-10-05 06:58,706316528,0,1048576,5,region4_1646037700
2021-10-05 06:58,706316528,5242880,1048576,5,region4_1646037700
2021-10-05 06:58,706316528,3145728,1048576,5,region4_1646037700
2021-10-05 06:58,706316528,7340032,1048576,5,region4_1646037700
2021-10-05 06:58,706316528,6291456,1048576,5,region4_1646037700
2021-10-05 06:58,706316528,4194304,1048576,5,region4_1646037700
2021-10-05 06:58,706316528,2097152,1048576,5,region4_1646037700
2021-10-05 06:58,706316528,1048576,1048576,5,region4_1646037700
2021-10-05 06:58,706338515,6806503,1582105,2,region4_1646037697
2021-10-05 06:58,706307302,0,57992,2,region4_1646037697
2021-10-05 06:58,706307302,7536061,852547,2,region4_1646037697
2021-10-05 06:58,706307302,7534619,561,2,region4_1646037697
2021-10-05 06:58,706311823,0,14632933,2,region4_1646037701
2021-10-05 06:58,706314340,0,6688532,3,region4_1646037699
2021-10-05 06:58,706229773,595507,1749497,2,region4_1646037697
2021-10-05 06:58,706229773,8072002,316606,2,region4_1646037697
2021-10-05 06:58,706229773,0,709059,2,region4_1646037697
2021-10-05 06:58,706229773,8070571,569,2,region4_1646037697
2021-10-05 06:58,706317408,0,8996,5,region4_1646037700
2021-10-05 06:58,706358764,3145728,84305,5,region4_1646037700
2021-10-05 06:58,706358764,2097152,1048576,5,region4_1646037700
2021-10-05 06:58,706358764,1048576,1048576,5,region4_1646037700
2021-10-05 06:58,706358764,0,1048576,5,region4_1646037700
2021-10-05 06:59,706335420,2097152,1048576,5,region4_1646037700
