Session_ID,Block_ID,IO_Offset,IO_Size,Op_Name,User
2019-10-26 08:10,53,0,131072,2,region3_0
2019-10-26 08:10,71,0,262144,2,region3_0
2019-10-26 08:10,219,0,393216,2,region3_0
2019-10-26 08:10,314,0,131072,2,region3_0
2019-10-26 08:10,394,0,262144,2,region3_0
2019-10-26 08:10,409,0,262144,2,region3_0
2019-10-26 08:10,509,0,131072,2,region3_0
2019-10-26 08:10,675,0,393216,2,region3_0
2019-10-26 08:10,698,655360,786432,2,region3_8
2019-10-26 08:10,719,0,131072,2,region3_0
2019-10-26 08:10,987,0,262144,2,region3_0
2019-10-26 08:10,1328,6946816,524288,2,region3_4
2019-10-26 08:10,698,655360,786432,2,region3_8
2019-10-26 08:10,1587,0,131072,2,region3_0
2019-10-26 08:10,1632,0,131072,2,region3_0
2019-10-26 08:10,1663,0,131072,2,region3_0
2019-10-26 08:10,2115,0,262144,2,region3_0
2019-10-26 08:10,2121,4194304,131072,2,region3_4
2019-10-26 08:10,2121,3801088,131072,2,region3_4
2019-10-26 08:10,2121,4194304,131072,2,region3_4
2019-10-26 08:10,2247,0,131072,2,region3_0
2019-10-26 08:10,2290,0,131072,2,region3_0
2019-10-26 08:10,2435,0,393216,2,region3_0
2019-10-26 08:10,2731,0,131072,2,region3_0
2019-10-26 08:10,2839,0,262144,2,region3_0
2019-10-26 08:10,698,655360,786432,2,region3_8
2019-10-26 08:10,3772,0,262144,2,region3_0
2019-10-26 08:10,3797,0,262144,2,region3_0
2019-10-26 08:10,3799,0,262144,2,region3_0
2019-10-26 08:10,698,655360,786432,2,region3_8
2019-10-26 08:10,4128,0,131072,2,region3_0
2019-10-26 08:10,4261,0,262144,2,region3_0
2019-10-26 08:10,4348,0,262144,2,region3_0
2019-10-26 08:10,4771,0,262144,2,region3_0
2019-10-26 08:10,4773,0,262144,2,region3_0
2019-10-26 08:10,4952,0,393216,2,region3_0
2019-10-26 08:10,5063,0,262144,2,region3_0
2019-10-26 08:10,2731,0,131072,2,region3_0
2019-10-26 08:10,5239,0,262144,2,region3_0
2019-10-26 08:10,5429,0,131072,2,region3_0
2019-10-26 08:10,5436,0,393216,2,region3_0
2019-10-26 08:10,5440,5373952,131072,2,region3_4
2019-10-26 08:10,5440,5373952,131072,2,region3_4
2019-10-26 08:10,5440,4980736,131072,2,region3_4
2019-10-26 08:10,5510,0,262144,2,region3_0
2019-10-26 08:10,5653,0,262144,2,region3_0
2019-10-26 08:10,698,655360,786432,2,region3_8
2019-10-26 08:10,6068,0,3801088,2,region3_4
2019-10-26 08:10,6071,0,8388608,3,region3_5
2019-10-26 08:10,6265,0,262144,2,region3_0
2019-10-26 08:10,6801,0,131072,2,region3_0
2019-10-26 08:10,7085,0,262144,2,region3_0
2019-10-26 08:10,7129,0,524288,2,region3_0
2019-10-26 08:10,7417,0,393216,2,region3_0
2019-10-26 08:10,7458,0,4194304,1,region3_3
2019-10-26 08:10,7556,0,262144,2,region3_0
